loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
593,1,2,0,0,811.30000000,1.570000,6.170,31.49680,0.737000,0.089000,,,0,K2,4903.69,0.77,0.79,[Fe/H],-0.537,4.55,8.600,,32.11490,51.96923,216.7690000,24.3323000,41.0687000
594,2,1,0,0,359.51001000,1.120000,12.400,3391.24610,9.770000,0.850000,,,0,G0 V,6090.00,1.90,1.38,[Fe/H],0.697,4.02,2.400,,9.98244,5.03368,-143.2040000,47.7332000,20.9210000
595,1,1,0,0,521.00000000,1.500000,13.500,486.27990,1.090000,0.290000,,,0,K0,4860.00,4.50,1.30,[Fe/H],1.076,3.24,2.500,,29.86597,50.39671,-57.2047000,94.8625000,10.5127000
596,1,5,0,0,2.17800000,,1.214,2.22000,6.120000,,1460.74,1577,0,G0,5801.89,1.21,1.08,,0.212,4.25,,20.00,34.09023,80.13841,-49.6388000,27.0498000,36.9399000
597,1,5,0,0,3.43200000,,2.230,5.60000,2.770000,,,,0,G0,5801.89,1.21,1.08,,0.212,4.25,,20.00,34.09023,80.13841,-49.6388000,27.0498000,36.9399000
598,1,5,0,0,5.19808140,,2.180,5.41000,2.870000,,,,0,G0,5801.89,1.21,1.08,,0.212,4.25,,20.00,34.09023,80.13841,-49.6388000,27.0498000,36.9399000
599,1,5,0,0,7.95100000,,2.340,6.08000,2.610000,,,,0,G0,5801.89,1.21,1.08,,0.212,4.25,,20.00,34.09023,80.13841,-49.6388000,27.0498000,36.9399000
600,1,5,0,0,12.02800000,,2.350,6.14000,2.600000,,,,0,G0,5801.89,1.21,1.08,,0.212,4.25,,20.00,34.09023,80.13841,-49.6388000,27.0498000,36.9399000
601,1,1,0,0,820.20000000,2.100000,12.300,4449.62000,13.100000,0.130000,,,0,K5 III,4069.00,50.30,1.80,[Fe/H],3.015,1.40,1.600,627.00,30.57740,112.37477,0.7927350,283.6590000,3.4976500
602,1,2,0,0,12.62000000,0.110000,13.700,359.13000,0.767000,0.020000,,,0,G0 V,6123.00,1.12,1.12,[Fe/H],0.114,4.55,1.250,,19.95000,29.07673,21.7694000,73.3055000,13.6128000
603,1,2,0,0,248.40000000,0.800000,13.400,603.90000,1.380000,0.075000,,,0,G0 V,6123.00,1.12,1.12,[Fe/H],0.114,4.55,1.250,,19.95000,29.07673,21.7694000,73.3055000,13.6128000
604,1,2,0,0,1184.10000000,2.320000,13.300,704.94694,1.650000,0.024000,,,0,G5 V,5534.00,2.13,1.19,[Fe/H],0.556,3.92,7.570,,-6.31279,347.17359,-167.7660000,55.8503000,17.8763000
