num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
1,0,3.446459,0.0444,14.594,589.55,0.12,1359.0,5870.0,1.04,0.99,0.041,6.0,36.8124,282.95386,283.971,3.49336,0.0017880121476199905,0.1283888369076998,1
1,0,3.312846,0.04491,10.862,167.17858,0.501,1407.0,5880.0,1.1,1.1,0.117,3.3,-19.62467,17.37913,534.889,1.84118,0.00045632363442570497,0.09034484460308051,1
1,0,3.619188,0.0507,18.03,263.7989,0.34,1596.0,6563.0,1.54,1.33,0.403,7.7,-15.5115,15.35571,944.603,1.03135,0.0005955337177030056,0.1071177070911396,1
1,0,3.142702,0.0441,7.76,759.6137,0.085,1446.0,6357.0,1.17,1.16,0.863,2.36,-14.11663,18.14948,746.138,2.673493,0.001966164341984362,0.06068231232949618,1
1,0,3.0440499,0.04057,13.585,172.58169,0.181,1244.0,5523.0,0.89,0.96,-0.321,2.5,-40.44359,20.64911,421.855,2.34291,0.0005397696982780291,0.13965480991624588,1
1,0,2.7667641,0.03815,11.646,340.39593,0.142,1276.0,5346.0,0.93,0.97,-0.173,4.9,-37.08329,20.03137,513.011,1.92119,0.0010536530785091199,0.11457242337123041,1
1,0,1.74748753,0.02712,12.386,689.6911,0.126,1505.0,5311.0,0.92,0.87,-0.204,11.0,-33.28171,26.56133,1139.55,0.853805,0.0023802380039643326,0.1231769681477439,1
1,0,2.686502,0.03744,14.572,1039.3041,0.0,1592.0,5738.0,1.24,0.97,0.173,9.5,-77.12348,16.62766,757.044,1.2921,0.0032170360100138387,0.10751863429711292,1
1,0,16.254611,0.1308,8.709,425.25654,0.029,814.0,5846.0,1.09,1.13,0.093,2.1,15.25563,302.46383,400.331,2.47137,0.0011299456999693002,0.0731017972608024,1
1,0,0.83784,0.0174,14.897,629.14449,0.166,2069.0,5600.0,1.02,1.04,-0.032,4.2,30.87451,283.68658,624.368,1.57358,0.0018163606055806938,0.13362413532492295,1
1,0,1.354133,0.023,13.092,427.463,0.0,1577.0,5227.0,0.9,0.88,-0.268,9.7,37.9221,283.96382,341.925,2.89606,0.0014584813268430916,0.1330913251189553,1
1,0,2.1605156,0.03397,20.849,467.2101,0.114,1654.0,5780.0,1.2,1.12,0.155,4.2,-22.61865,346.88498,639.004,1.53649,0.0012525042722473603,0.15896087519506755,1
1,0,1.3484978,0.0238,15.637,718.2958,0.0,2166.0,6125.0,1.12,1.07,0.19,3.7,-17.45562,331.7177,494.182,1.99658,0.0020156010006437274,0.1277384598143764,1
1,0,4.2986432,0.05163,14.123,194.82979,0.176,1277.0,5715.0,1.11,0.99,0.068,7.5,37.0577,320.25244,471.158,2.09452,0.00059088801838394,0.11640998740648337,1
1,0,3.3023881,0.04735,19.616,206.5895,0.245,1918.0,6071.0,2.04,1.3,0.704,4.04,17.78428,259.72931,861.843,1.13189,0.00047714448466566105,0.08797647306617737,1
1,0,4.637038,0.0611,16.814,168.4499,0.581,1659.0,6438.0,1.74,1.42,0.669,2.3,16.28136,303.42806,816.988,1.19821,0.00035617827728563436,0.08841135704945298,1
1,0,3.1810781,0.04131,13.384,213.58176,0.202,1253.0,5498.0,0.92,0.93,-0.157,6.2,-21.13143,347.45078,535.383,1.83949,0.0006895507391297296,0.13310193296378206,1
